password_len,guesses,log10_guesses,gn_score,top_pattern,comp_score,comp_strong,entropy_bits,entropy_strong,in_training_corpus
6,1.0,0.0,0,dictionary:breach,1,False,19.931568569324174,False,True
9,2.0,0.3010299956639812,0,dictionary:breach,2,False,29.89735285398626,False,True
6,8.0,0.9030899869919436,0,dictionary:breach,1,False,19.931568569324174,False,True
8,3.0,0.47712125471966244,0,dictionary:breach,2,False,37.603517745128734,False,True
6,4.0,0.6020599913279624,0,dictionary:breach,1,False,28.202638308846552,False,True
6,12.0,1.0791812460476249,0,dictionary:breach,2,False,31.019550008653873,False,True
8,5.0,0.6989700043360187,0,dictionary:breach,2,False,26.575424759098897,False,True
9,25.0,1.3979400086720375,0,dictionary:breach,3,False,46.529325012980806,False,True
7,11.0,1.0413926851582251,0,dictionary:breach,1,False,23.253496664211536,False,True
6,7.0,0.8450980400142569,0,dictionary:breach,1,False,19.931568569324174,False,True
10,10.0,1.0,0,dictionary:breach,2,False,33.219280948873624,False,True
6,17.0,1.2304489213782739,0,dictionary:breach,1,False,19.931568569324174,False,True
5,6.0,0.7781512503836436,0,dictionary:breach,1,False,16.609640474436812,False,True
8,15.0,1.1760912590556813,0,dictionary:breach,2,False,37.603517745128734,False,True
10,13.0,1.113943352306837,0,dictionary:breach,3,False,51.69925001442312,False,True
4,9.0,0.9542425094393249,0,dictionary:breach,1,False,13.287712379549449,False,True
7,51.0,1.7075701760979363,0,dictionary:breach,2,False,36.18947501009619,False,True
10,20.0,1.3010299956639813,0,dictionary:breach,2,False,47.004397181410916,False,True
6,34.0,1.5314789170422551,0,dictionary:breach,1,False,28.202638308846552,False,True
6,18.0,1.255272505103306,0,dictionary:breach,1,False,19.931568569324174,False,True
6,28.0,1.4471580313422192,0,dictionary:breach,1,False,28.202638308846552,False,True
6,22.0,1.3424226808222064,0,dictionary:breach,1,False,19.931568569324174,False,True
6,27.0,1.4313637641589874,0,dictionary:breach,1,False,19.931568569324174,False,True
3,16.0,1.2041199826559248,0,dictionary:breach,1,False,9.965784284662087,False,True
8,428.0,2.6314437690131722,0,dictionary:breach,3,False,41.3594000115385,False,True
7,52.0,1.7160033436347992,0,bruteforce,2,False,36.18947501009619,False,True
6,45.0,1.6532125137753437,0,dictionary:breach,1,False,19.931568569324174,False,True
8,26.0,1.414973347970818,0,dictionary:breach,3,False,41.3594000115385,False,True
6,32.0,1.505149978319906,0,dictionary:breach,2,False,31.019550008653873,False,True
6,82.0,1.9138138523837167,0,dictionary:breach,2,False,31.019550008653873,False,True
6,4738.0,3.6755950563867463,1,dictionary:breach,1,False,28.202638308846552,False,True
9,4254.0,3.6287974855667104,1,dictionary:breach,3,False,46.529325012980806,False,True
6,190923.0,5.280858249878207,1,dictionary:breach,1,False,28.202638308846552,False,True
8,74526.0,4.872307812166167,1,dictionary:breach,3,False,41.3594000115385,False,True
9,77068.0,4.886874088709194,1,dictionary:breach,3,False,46.529325012980806,False,True
8,77360.0,4.888516461074945,1,dictionary:breach,3,False,41.3594000115385,False,True
7,55.0,1.740362689494244,0,dictionary:breach,1,False,23.253496664211536,False,True
7,80.0,1.9030899869919438,0,dictionary:breach,2,False,36.18947501009619,False,True
8,19.0,1.2787536009528289,0,dictionary:breach,3,False,41.3594000115385,False,True
9,31.0,1.4913616938342726,0,dictionary:breach,2,False,29.89735285398626,False,True
6,60.0,1.7781512503836439,0,repeat,1,False,19.931568569324174,False,True
6,53.0,1.724275869600789,0,dictionary:breach,2,False,31.019550008653873,False,True
9,23.0,1.361727836017593,0,dictionary:breach,3,False,46.529325012980806,False,True
7,36.0,1.5563025007672873,0,dictionary:breach,1,False,32.90307802698764,False,True
6,60.0,1.7781512503836439,0,repeat,1,False,19.931568569324174,False,True
6,42.0,1.6232492903979006,0,dictionary:breach,1,False,19.931568569324174,False,True
7,62.0,1.792391689498254,0,dictionary:breach,1,False,32.90307802698764,False,True
9,38.0,1.5797835966168101,0,dictionary:breach,2,False,42.303957463269825,False,True
6,312.0,2.494154594018443,0,dictionary:breach,2,False,31.019550008653873,False,True
9,37.0,1.5682017240669952,0,dictionary:breach,2,False,29.89735285398626,False,True
6,58.0,1.7634279935629373,0,dictionary:breach,2,False,31.019550008653873,False,True
6,48.0,1.6812412373755872,0,dictionary:breach,1,False,28.202638308846552,False,True
8,61.0,1.7853298350107671,0,dictionary:breach,2,False,37.603517745128734,False,True
6,30.0,1.4771212547196626,0,repeat,1,False,28.202638308846552,False,True
6,33.0,1.5185139398778875,0,dictionary:breach,1,False,19.931568569324174,False,True
9,286.0,2.456366033129043,0,dictionary:breach,3,False,46.529325012980806,False,True
8,477.0,2.678518379040114,0,dictionary:breach,3,False,41.3594000115385,False,True
8,30.0,1.4771212547196626,0,dictionary:breach,2,False,37.603517745128734,False,True
9,112.0,2.0492180226701815,0,dictionary:breach,2,False,29.89735285398626,False,True
8,80.0,1.9030899869919438,0,repeat,2,False,26.575424759098897,False,True
6,70.0,1.845098040014257,0,dictionary:breach,1,False,19.931568569324174,False,True
9,353.0,2.547774705387823,0,dictionary:breach,3,False,46.529325012980806,False,True
6,60.0,1.7781512503836439,0,repeat,1,False,19.931568569324174,False,True
8,3723.0,3.5708930362183926,1,dictionary:breach,2,False,37.603517745128734,False,True
7,43.0,1.6334684555795866,0,dictionary:breach,1,False,32.90307802698764,False,True
8,56.0,1.7481880270062005,0,dictionary:breach,2,False,37.603517745128734,False,True
8,40.0,1.6020599913279625,0,dictionary:breach,2,False,37.603517745128734,False,True
5,50.0,1.6989700043360187,0,repeat,1,False,16.609640474436812,False,True
6,60.0,1.7781512503836439,0,repeat,1,False,19.931568569324174,False,True
8,49.0,1.6901960800285138,0,dictionary:breach,3,False,41.3594000115385,False,True
6,60.0,1.7781512503836439,0,repeat,1,False,19.931568569324174,False,True
8,43488.0,4.6383694350524,1,dictionary:breach,4,False,47.633570483095,False,False
7,575.0,2.7596678446896306,0,dictionary:breach,2,False,36.18947501009619,False,True
9,389.0,2.589949601325708,0,dictionary:breach,3,False,46.529325012980806,False,True
6,46.0,1.6627578316815743,0,dictionary:breach,1,False,28.202638308846552,False,True
6,52.0,1.7160033436347992,0,dictionary:breach,1,False,28.202638308846552,False,True
6,312.0,2.494154594018443,0,bruteforce,2,False,31.019550008653873,False,True
10,90.0,1.954242509439325,0,dictionary:breach,3,False,51.69925001442312,False,True
6,122.0,2.0863598306747484,0,dictionary:breach,1,False,19.931568569324174,False,True
6,65.0,1.8129133566428557,0,dictionary:breach,1,False,28.202638308846552,False,True
7,447.0,2.6503075231319366,0,dictionary:breach,2,False,36.18947501009619,False,True
8,59.0,1.7708520116421445,0,dictionary:breach,3,False,41.3594000115385,False,True
8,264.0,2.4216039268698313,0,dictionary:breach,3,False,41.3594000115385,False,True
8,80.0,1.9030899869919438,0,repeat,2,False,26.575424759098897,False,True
7,124.0,2.093421685162235,0,dictionary:breach,1,False,23.253496664211536,False,True
8,158.0,2.1986570869544226,0,dictionary:breach,3,False,41.3594000115385,False,True
10,74882.0,4.874377435320918,1,dictionary:breach,3,False,51.69925001442312,False,False
6,29.0,1.462397997898956,0,dictionary:breach,1,False,28.202638308846552,False,True
4,250.0,2.3979400086720375,0,dictionary:breach,1,False,18.801758872564367,False,True
