id,label,group_id
20030228_easy_ham/00001.7c53336b37003a9286aba55d2945844c#0,0,0
20030228_easy_ham/00002.9c4069e25e1ef370c078db7ee85ff9ac#1,0,1
20030228_easy_ham/00003.860e3c3cee1b42ead714c5c874fe25f7#2,0,2
20030228_easy_ham/00004.864220c5b6930b209cc287c361c99af1#3,0,3
20030228_easy_ham/00005.bf27cdeaf0b8c4647ecd61b1d09da613#4,0,4
20030228_easy_ham/00006.253ea2f9a9cc36fa0b1129b04b806608#5,0,5
20030228_easy_ham/00007.37a8af848caae585af4fe35779656d55#6,0,6
20030228_easy_ham/00008.5891548d921601906337dcf1ed8543cb#7,0,7
20030228_easy_ham/00009.371eca25b0169ce5cb4f71d3e07b9e2d#8,0,8
20030228_easy_ham/00010.145d22c053c1a0c410242e46c01635b3#9,0,9
20030228_easy_ham/00011.fbcde1b4833bdbaaf0ced723edd6e355#10,0,10
20030228_easy_ham/00012.48a387bc38d1316a6f6b49e8c2e43a03#11,0,11
20030228_easy_ham/00013.81c34741dbed59c6dde50777e27e7ea3#12,0,12
20030228_easy_ham/00014.cb20e10b2bfcb8210a1c310798532a57#13,0,13
20030228_easy_ham/00015.4d7026347ba7478c9db04c70913e68fd#14,0,14
20030228_easy_ham/00016.ef397cef16f8041242e3b6560e168053#15,0,15
20030228_easy_ham/00017.08ef2d89f14cf7e2a458b80697eb1837#16,0,16
20030228_easy_ham/00018.6fee38026193b5adde4b56892a6f14bc#17,0,17
20030228_easy_ham/00019.5322cb10d8819b39499924d852819c27#18,0,18
20030228_easy_ham/00020.d10651e31fcb92630c6229ec773cfe26#19,0,19
20030228_easy_ham/00021.607c41268c5b0d66e81b58713a66d12c#20,0,20
20030228_easy_ham/00022.48098f942c31097d2ef605df44dd8593#21,0,21
20030228_easy_ham/00023.e0e815ea1d7fd40e7e70b4c0035bef0c#22,0,21
20030228_easy_ham/00024.59c2cb781c60594315241e2b50ea70e2#23,0,22
20030228_easy_ham/00025.d685245bdc4444f44fa091e6620b20b3#24,0,23
20030228_easy_ham/00026.f9755fb0cee92676d7bd76d32bc5f50f#25,0,24
20030228_easy_ham/00027.4d456dd9ce0afde7629f94dc3034e0bb#26,0,25
20030228_easy_ham/00028.ddbae7c7b229813409ae50c47624ddb9#27,0,26
20030228_easy_ham/00029.56d4310a82386b76b9e771523d571e67#28,0,27
20030228_easy_ham/00030.cc78e84cd398ff4a2e9e287263de928f#29,0,28
20030228_easy_ham/00031.ac7e81ff64671b17569d2c6a66648bb2#30,0,29
20030228_easy_ham/00032.57e29a75bca42afb412fc68d5051aa20#31,0,30
20030228_easy_ham/00033.2ceb520d2c6500ccf24357f2ebdce618#32,0,31
20030228_easy_ham/00034.1d56abea55f3c516d0ffdd4f1e8b883b#33,0,32
20030228_easy_ham/00035.9069e05ad40dd0f98cdae72072ee7186#34,0,33
20030228_easy_ham/00036.719795e8d4670c6d8095274b18b59749#35,0,34
20030228_easy_ham/00037.5a7af2f7bd57a2f50b7cfa05d5e37c29#36,0,35
20030228_easy_ham/00038.cd457af47eb78d4b93c7d94043a43108#37,0,25
20030228_easy_ham/00039.be5e34dcebd922928045634015e3ed78#38,0,36
20030228_easy_ham/00040.eec48d76fbc04e9b98c3de0f59af97ac#39,0,37
20030228_easy_ham/00041.002af69a10eb9b6683a7cff5f3ac14b4#40,0,38
20030228_easy_ham/00042.efe6317ef2ebefe739aaeb4f0d51fbdb#41,0,39
20030228_easy_ham/00043.d2673a72d215cbdd747dc98cde41fbd2#42,0,40
20030228_easy_ham/00044.d087bf5e76ba737908b482cb028b056c#43,0,30
20030228_easy_ham/00045.f0a8de2cf2b3cf745341b960d7a0119f#44,0,41
